Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""johnjohnjohnjoh"")",Chrome 122.0.0.0,,,05-03-2024 14:06:56,05-03-2024 14:06:57,0.599s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 14:06:57,05-03-2024 14:06:58,0.591s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""75"")",Chrome 122.0.0.0,,,05-03-2024 14:06:58,05-03-2024 14:06:58,0.526s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 14:06:58,05-03-2024 14:06:58,0.319s,PASSED
"verifyTextPresent(""First Name"", false)",Chrome 122.0.0.0,,,05-03-2024 14:06:58,05-03-2024 14:06:59,0.278s,PASSED
"takeFullPageScreenshot(""imgg/img5.png"")",Chrome 122.0.0.0,,,05-03-2024 14:06:59,05-03-2024 14:06:59,0.297s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 14:06:59,05-03-2024 14:06:59,0.099s,PASSED
,,,,,,,
Test Cases/Ex3,Chrome 122.0.0.0,,,05-03-2024 14:06:59,05-03-2024 14:07:03,3.990s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 14:06:59,05-03-2024 14:07:00,0.638s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 14:07:00,05-03-2024 14:07:00,0.146s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""Johnjohnjohnjo"")",Chrome 122.0.0.0,,,05-03-2024 14:07:00,05-03-2024 14:07:01,0.803s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""))",Chrome 122.0.0.0,,,05-03-2024 14:07:01,05-03-2024 14:07:01,0.292s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canoncanoncanon"")",Chrome 122.0.0.0,,,05-03-2024 14:07:01,05-03-2024 14:07:02,0.535s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""150"")",Chrome 122.0.0.0,,,05-03-2024 14:07:02,05-03-2024 14:07:02,0.544s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 14:07:02,05-03-2024 14:07:02,0.296s,PASSED
"verifyTextPresent(""First Name"", false)",Chrome 122.0.0.0,,,05-03-2024 14:07:02,05-03-2024 14:07:03,0.273s,PASSED
"takeFullPageScreenshot(""imgg/img3.png"")",Chrome 122.0.0.0,,,05-03-2024 14:07:03,05-03-2024 14:07:03,0.276s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 122.0.0.0,,,05-03-2024 14:07:03,05-03-2024 14:07:03,0.126s,PASSED
,,,,,,,
Test Cases/Ex2,Chrome 122.0.0.0,,,05-03-2024 14:07:03,05-03-2024 14:07:07,3.885s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 14:07:03,05-03-2024 14:07:04,0.541s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 14:07:04,05-03-2024 14:07:04,0.154s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""Johnj"")",Chrome 122.0.0.0,,,05-03-2024 14:07:04,05-03-2024 14:07:05,0.803s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/form_First Name                            _0beb76""))",Chrome 122.0.0.0,,,05-03-2024 14:07:05,05-03-2024 14:07:05,0.303s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canoncanoncano"")",Chrome 122.0.0.0,,,05-03-2024 14:07:05,05-03-2024 14:07:05,0.536s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""149"")",Chrome 122.0.0.0,,,05-03-2024 14:07:05,05-03-2024 14:07:06,0.538s,PASSED
"verifyTextPresent(""First Name"", false)",Chrome 122.0.0.0,,,05-03-2024 14:07:06,05-03-2024 14:07:06,0.268s,PASSED
"takeFullPageScreenshot(""imgg/img2.png"")",Chrome 122.0.0.0,,,05-03-2024 14:07:06,05-03-2024 14:07:07,0.288s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 14:07:07,05-03-2024 14:07:07,0.318s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 14:07:07,05-03-2024 14:07:07,0.090s,PASSED
,,,,,,,
Test Cases/Ex11,Chrome 122.0.0.0,,,05-03-2024 14:07:07,05-03-2024 14:07:11,4.138s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 14:07:07,05-03-2024 14:07:08,0.621s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 14:07:08,05-03-2024 14:07:08,0.136s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 14:07:08,05-03-2024 14:07:09,0.795s,PASSED
